wave_id,t_w0,t_U,duration,dh_raw,dh,true_h0,abs_error,error_pct,error_density
20260310_145055,1280.0,1775.0,495.0,106.3646355278371,115.86211236255913,121.88215998123312,6.020047618673985,4.939236078193007,0.009978254703420217
20260310_145559,1000.0,2040.0,1040.0,87.92287481653736,98.14883862222247,94.92139940227453,3.2274392199479394,3.4001176133846616,0.003269343859023713
20260310_161429,1190.0,2050.0,860.0,71.76405152281211,80.09434181361084,83.23891270469514,3.1445708910842995,3.7777654571729267,0.0043927505315964266
20260310_163551,1080.0,1625.0,545.0,143.49963731141304,157.77610652964884,148.48623735879738,9.28986917085146,6.256383982849345,0.011479603638255679
20260310_163554,1170.0,1940.0,770.0,119.55626197054534,130.4377378001575,131.23533522208217,0.797597421924678,0.6077611800015208,0.0007893002337682088
20260310_163556,1145.0,2055.0,910.0,138.01174363200172,152.6264151254585,144.76846054501362,7.8579545804448685,5.4279464952945,0.005964776368455494
20260310_163557,1370.0,1960.0,590.0,90.62069791893089,98.44421331656247,107.65010322480316,9.205889908240692,8.551677734127436,0.014494369040893958
20260310_163559,1130.0,1880.0,750.0,114.22156264057884,125.5415495970835,123.92750159493805,1.6140480021454522,1.3024130894053136,0.0017365507858737516
20260310_202157,1205.0,1695.0,490.0,83.08130821005703,90.84093656316995,95.10388163589053,4.2629450727205835,4.4824091292524315,0.009147773733168227
20260310_202159,1390.0,2075.0,685.0,97.55222826868098,105.94985415815232,116.11609390925392,10.1662397511016,8.755237460060131,0.012781368554832308
20260310_202200,1150.0,2105.0,955.0,83.29654635096468,92.48077561881914,94.72657464134983,2.24579902253069,2.3708225817661512,0.002482536734833666
20260310_202202,1405.0,2095.0,690.0,97.21603587112264,105.63164643326985,115.81604861618263,10.184402182912777,8.793601840677667,0.012744350493735748
20260310_202203,1170.0,1925.0,755.0,88.07619924594971,98.77392237683499,98.53381757523861,0.24010480159637382,0.24367755914159545,0.0003227517339623781
20260310_202204,1300.0,2085.0,785.0,85.29049435070021,93.53242998269914,99.85735806724226,6.324928084543117,6.333962971746175,0.008068742639167101
20260310_202206,1190.0,1795.0,605.0,94.69183363977798,105.20511807749095,105.1272677406586,0.07785033683235554,0.07405341973160258,0.00012240234666380592
20260310_202207,1330.0,1985.0,655.0,97.85812492409713,107.35776798807805,112.79356058471893,5.43579259664088,4.819240183980247,0.00735761860149656
20260310_202209,1140.0,2145.0,1005.0,113.92279594448378,127.60701073776892,121.839648881974,5.767361855794917,4.733567363922525,0.0047100172775348505
20260310_202210,1120.0,2050.0,930.0,107.56156691678711,120.03034018600655,115.80868911375433,4.221651072252229,3.645366426784666,0.003919748846005017
20260316_125800,975.0,1980.0,1005.0,132.7634178332732,148.0370866975773,130.10689841281166,17.93018828476565,13.781120373706532,0.013712557585777644
20260316_125801,1170.0,1965.0,795.0,115.82668161182981,128.51873466463195,125.19573596472479,3.32299869990716,2.6542427138600386,0.003338670080327093
20260316_125802,1205.0,2235.0,1030.0,83.53294415207162,93.55726725761005,95.99658703498919,2.43931977737914,2.541048440076362,0.0024670373204624873
20260316_125804,1295.0,1995.0,700.0,90.92796636644849,99.10854199668876,107.1107850386764,8.00224304198764,7.470996537928583,0.010672852197040833
20260316_125805,1320.0,1850.0,530.0,133.11284872838422,146.34852812121312,147.2140457420109,0.8655176207977888,0.5879314140408775,0.0011093045547941084
20260316_125816,1195.0,1960.0,765.0,84.49461624524517,91.93608691535029,98.25620949864671,6.320122583296424,6.4322882141952284,0.0084082198878369
20260316_125818,1385.0,2025.0,640.0,80.80199928793965,87.35068732156246,97.8521913106433,10.501503989080845,10.732006967266154,0.016768760886353366
20260316_125819,1175.0,1855.0,680.0,138.50431470568316,151.75337111020448,149.65586935684433,2.0975017533601488,1.4015499441313573,0.002061102859016702
20260316_125820,1290.0,1930.0,640.0,126.0424738821954,137.83018245747044,141.25052548133021,3.420343023859772,2.4214727783875434,0.0037835512162305365
20260316_125822,1185.0,2170.0,985.0,132.226415210732,148.61681857710386,139.49657235144764,9.120246225656217,6.5379715586693194,0.006637534577329259
20260316_125823,1405.0,2115.0,710.0,94.69116678331753,102.23931084135153,115.1757527906915,12.93644194933998,11.231914388134568,0.015819597729766998
20260316_125825,1075.0,1865.0,790.0,80.09236090081768,88.49837368778415,90.23725010115137,1.7388764133672225,1.9270051020149996,0.002439246964575949
20260316_125826,1405.0,1990.0,585.0,97.02481307070649,105.42702482434022,113.52528967109907,8.098264846758852,7.133445657985829,0.012193924201685179
20260316_125828,1430.0,1895.0,465.0,107.1354814418628,115.411993851994,125.94306276515962,10.531068913165626,8.361769740984016,0.017982300518245196
20260316_125829,1305.0,1840.0,535.0,102.455404317752,111.18870936779967,117.92237455706018,6.733665189260506,5.710252371149655,0.010673368918036738
20260316_125830,935.0,1490.0,555.0,104.69428770387123,115.79324362794328,108.62505682851227,7.1681867994310124,6.599017766911292,0.011890122102542868
