wave_id,t_w0,t_U,duration,dh_raw,dh,true_h0,abs_error,error_pct,error_density
20260310_145055,1235.0,3105.0,1870.0,125.3858333007773,136.58174481090316,121.88215998123312,14.699584829670044,12.060489272534571,0.0064494595040291
20260310_145559,910.0,3285.0,2375.0,102.95021337117775,114.92394782785875,94.92139940227452,20.00254842558424,21.072749192006675,0.0088727365018975
20260310_161429,1115.0,3485.0,2370.0,84.26567604599079,94.0471408339755,83.23891270469514,10.808228129280366,12.984585908305265,0.0054787282313524
20260310_163551,1030.0,3095.0,2065.0,168.79326854363688,185.58614654498768,148.48623735879738,37.099909186190274,24.985419420752944,0.0120994767170716
20260310_163554,1105.0,3005.0,1900.0,140.0192071528865,152.76312866066132,131.23533522208217,21.527793438579156,16.403961175661173,0.0086336637766637
20260310_163556,1070.0,3250.0,2180.0,161.45893911457867,178.5565374257303,144.76846054501362,33.78807688071669,23.339390882180982,0.010706142606505
20260310_163557,1320.0,3130.0,1810.0,106.3873064807744,115.57199330706086,107.65010322480316,7.921890082257704,7.358924743169645,0.0040657042779942
20260310_163559,1070.0,3120.0,2050.0,133.99338895542206,147.27287297024125,123.92750159493804,23.3453713753032,18.83792626725299,0.0091892323254892
20260310_202157,1165.0,3110.0,1945.0,97.97167359079164,107.12203234868376,95.10388163589052,12.018150712793243,12.636866662083545,0.0064971036823051
20260310_202159,1330.0,3140.0,1810.0,114.25839634161406,124.094145706202,116.11609390925392,7.9780517969480655,6.870754542589941,0.0037959969848563
20260310_202200,1070.0,3330.0,2260.0,97.7088562710352,108.48217853714657,94.72657464134984,13.75560389579674,14.521377921536471,0.0064253884608568
20260310_202202,1345.0,3160.0,1815.0,114.18860356642666,124.07346268086737,115.81604861618264,8.257414064684738,7.129766697575758,0.0039282461143668
20260310_202203,1105.0,3570.0,2465.0,103.71457408913892,116.31173209257445,98.5338175752386,17.777914517335816,18.04244974448587,0.0073194522290003
