wave_id,t_w0,t_U,duration,dh,true_h0,error_pct,upwelling_detected,upwelling_depth
20260310_145055,1235.0,3105.0,1870.0,142.72174495225278,121.88215998123312,17.098142151590068,True,206.41282565130257
20260310_145559,910.0,3285.0,2375.0,116.98605820692882,94.92139940227453,23.245189118151124,True,152.30460921843687
20260310_161429,1115.0,3485.0,2370.0,94.57374617561335,83.23891270469514,13.61722913312257,True,186.37274549098194
20260310_163551,1030.0,3030.0,2000.0,198.49808628026472,148.48623735879738,33.68113423240721,True,172.3446893787575
20260310_163554,1105.0,3005.0,1900.0,163.24389637548387,131.23533522208217,24.390200321609584,True,184.36873747494988
20260310_163556,1070.0,3250.0,2180.0,190.6854387315478,144.76846054501362,31.717528813713518,True,178.3567134268537
20260310_163557,1320.0,3130.0,1810.0,120.84891064993796,107.65010322480316,12.260840472741624,True,220.44088176352702
20260310_163559,1070.0,3120.0,2050.0,154.57435724523478,123.92750159493805,24.729664728065924,True,178.3567134268537
20260310_202157,1165.0,3110.0,1945.0,108.32681893833445,95.10388163589053,13.903677825757452,True,194.3887775551102
20260310_202159,1330.0,3140.0,1810.0,131.94364167891908,116.11609390925392,13.630795901586708,True,222.4448897795591
20260310_202200,1070.0,3330.0,2260.0,111.34888117864652,94.72657464134983,17.547669806737385,True,178.3567134268537
20260310_202202,1345.0,3160.0,1815.0,131.8133937111768,115.81604861618263,13.812718777869701,True,224.44889779559117
20260310_202203,1105.0,3570.0,2465.0,116.74063738206968,98.53381757523861,18.47773714129027,True,184.36873747494988
20260310_202204,1235.0,3245.0,2010.0,113.66426950847227,99.85735806724226,13.826634019230383,True,206.41282565130257
20260310_202206,1140.0,3140.0,2000.0,124.63667845334072,105.1272677406586,18.557897614927494,True,190.38076152304606
20260310_202207,1270.0,3290.0,2020.0,131.2452056307003,112.79356058471893,16.358775226465507,True,212.42484969939878
20260310_202209,1055.0,3500.0,2445.0,154.28330422040332,121.839648881974,26.628158925390107,True,176.3527054108216
20260310_202210,1045.0,3410.0,2365.0,144.91399236416393,115.80868911375433,25.13222753244414,True,174.34869739478955
20260316_125800,885.0,3235.0,2350.0,178.3902965212499,130.10689841281166,37.110559622474064,True,148.29659318637272
20260316_125801,1105.0,3355.0,2250.0,157.2567760126808,125.19573596472479,25.60873164002131,True,184.36873747494988
20260316_125802,1115.0,3555.0,2440.0,112.13858859003875,95.99658703498919,16.815182761826797,True,186.37274549098194
20260316_125804,1235.0,3115.0,1880.0,122.43154508486141,107.1107850386764,14.303657694837057,True,206.41282565130257
20260316_125805,1270.0,3270.0,2000.0,182.72127017452087,147.2140457420109,24.119454263715788,True,212.42484969939878
20260316_125816,1130.0,2970.0,1840.0,113.09524709301634,98.25620949864671,15.10239166571351,True,188.376753507014
20260316_125818,1330.0,3040.0,1710.0,107.87387769979514,97.8521913106433,10.241657601041162,True,222.4448897795591
20260316_125819,1115.0,3105.0,1990.0,192.5806571417471,149.65586935684433,28.68232831052654,True,186.37274549098194
20260316_125820,1235.0,3185.0,1950.0,173.87502771504515,141.25052548133021,23.096906806217213,True,206.41282565130257
20260316_125822,1105.0,3615.0,2510.0,181.9921351756987,139.49657235144764,30.46351756743367,True,184.36873747494988
20260316_125823,1345.0,3025.0,1680.0,129.2930306549537,115.1757527906915,12.257161357492901,True,224.44889779559117
20260316_125825,1010.0,3170.0,2160.0,105.7111933029846,90.23725010115137,17.14806599767581,True,168.33667334669337
20260316_125826,1355.0,3175.0,1820.0,129.0382745467516,113.52528967109907,13.664783345275872,True,226.45290581162322
20260316_125828,1390.0,3025.0,1635.0,143.6002757536368,125.94306276515962,14.019996497466305,True,232.4649298597194
20260316_125829,1260.0,3050.0,1790.0,137.00738020909867,117.92237455706018,16.18438038050502,True,210.42084168336672
20260316_125830,885.0,2885.0,2000.0,138.16968344005483,108.62505682851227,27.198721431451144,True,148.29659318637272
20260316_125832,865.0,3160.0,2295.0,198.8420891414145,141.34934988069526,40.67421555829264,True,144.2885771543086
20260316_125833,1165.0,3350.0,2185.0,90.66466957911247,81.27567810603207,11.552030929636215,True,194.3887775551102
20260316_125835,1055.0,3495.0,2440.0,94.88860234343052,82.44781655233324,15.089284727389444,True,176.3527054108216
20260316_125836,1465.0,3180.0,1715.0,168.18007874208692,145.01689207736692,15.972750714008113,True,244.4889779559118
20260316_125838,910.0,2910.0,2000.0,169.90443131323855,128.22077656436431,32.50928271203369,True,152.30460921843687
20260316_125839,1030.0,3530.0,2500.0,143.10713392561215,113.44813555938444,26.14322238085852,True,172.3446893787575
20260316_125840,1200.0,3390.0,2190.0,106.74910848065723,93.85976516396913,13.73255440621543,True,200.4008016032064
20260316_125842,910.0,3165.0,2255.0,125.47052482522554,100.94145031798386,24.30029926256324,True,152.30460921843687
20260316_125843,1020.0,3260.0,2240.0,94.01344012138873,81.63743180622286,15.159722741575138,True,170.34068136272543
20260316_125845,1250.0,3250.0,2000.0,170.34812121156995,138.79982692675776,22.729346990799684,True,208.41683366733466
20260316_125846,1115.0,3095.0,1980.0,133.1425475941604,112.3137453055509,18.545194296516858,True,186.37274549098194
20260316_125847,935.0,2935.0,2000.0,138.720604382832,110.01055377360095,26.097542121563748,True,156.312625250501
20260316_125849,1175.0,3370.0,2195.0,93.92334378863382,83.60588043260239,12.340595305791547,True,196.39278557114227
20260316_125850,1355.0,3130.0,1775.0,118.74829901606253,105.79655601649429,12.242121565421266,True,226.45290581162322
20260316_125852,945.0,3050.0,2105.0,99.73918757532097,85.00626499392877,17.331572658138132,True,158.31663326653305
20260316_125853,1405.0,3135.0,1730.0,94.6403532248054,88.02148733818717,7.519602413883207,True,234.46893787575146
20260320_145313,1165.0,3205.0,2040.0,159.11514658351055,129.0449974556092,23.302064954703354,True,194.3887775551102
20260320_145314,1030.0,3185.0,2155.0,198.70148330710492,148.05887310983377,34.2043736613497,True,172.3446893787575
20260320_145315,1175.0,3325.0,2150.0,146.09898289109276,120.87988556691892,20.86293944265243,True,196.39278557114227
20260320_145317,1490.0,3230.0,1740.0,146.2923264620614,129.16854130308954,13.256931592028653,True,248.4969939879759
20260320_145318,1355.0,3095.0,1740.0,87.24143429080497,81.78411987528256,6.672828935305045,True,226.45290581162322
20260320_145320,1355.0,3240.0,1885.0,126.08349739358927,111.51585506744772,13.063292495341278,True,226.45290581162322
20260320_145321,1130.0,3045.0,1915.0,91.79324952177511,82.0094385973236,11.930103524414095,True,188.376753507014
20260320_145322,865.0,3130.0,2265.0,206.9426922265064,145.27081283593532,42.45304214014521,True,144.2885771543086
20260320_145324,995.0,2960.0,1965.0,171.6336792652914,134.7696962064379,27.35331761999809,True,166.3326653306613
