wave_id,strategy,strategy_label,true_h0,calc_h0,abs_error,rel_error,z_star,w_star,a_true,z_at_t0,z_t0_minus_zstar,v_rel,duration,dh_raw,integral_start_time,integral_end_time
Ideal_000,A,A_Pre_Positioned_Zstar,85.62855541825787,85.58484021439102,0.0437152038668529,0.05105213284671607,500.0,1.0,85.62855541825787,585.5849062949206,85.58490629492064,2.1726304690891407,2393.0,85.58484021439102,0.0,2393.0
Ideal_000,B1,B1_T0_Zstar,85.62855541825787,82.95684711240143,2.6717083058564413,3.120113720015852,500.0,1.0,85.62855541825787,500.0,0.0,2.392630469089141,2173.0,75.32904724923402,0.0,2173.0
Ideal_000,B2,B2_T0_Zstar_Plus_Atrue,85.62855541825787,85.57594973594522,0.052605682312659496,0.06143474224889565,500.0,1.0,85.62855541825787,585.6285554182579,85.62855541825786,2.392630469089141,2173.0,77.70732598266034,0.0,2173.0
Ideal_000,B3,B3_Early_Zstar_Then_Drift,85.62855541825787,85.02745655487423,0.6010988633836405,0.7019841225249411,500.0,1.0,85.62855541825787,544.7922346654765,44.792234665476485,2.392630469089141,2173.0,77.20926620590923,0.0,2173.0
Ideal_001,A,A_Pre_Positioned_Zstar,124.11812426095729,124.01087006946686,0.10725419149042636,0.08641299739990056,500.0,1.0,124.11812426095729,624.0112603762553,124.01126037625534,1.9221315661326892,2704.0,124.01087006946686,0.8113372002162578,2704.8113372002163
Ideal_001,B1,B1_T0_Zstar,124.11812426095729,116.61616085567229,7.501963405284997,6.044212680423838,500.0,1.0,124.11812426095729,500.0,0.0,2.142131566132689,2427.0,104.63951301859974,0.0,2427.0
Ideal_001,B2,B2_T0_Zstar_Plus_Atrue,124.11812426095729,123.97737756667122,0.14074669428606512,0.11339737457693641,500.0,1.0,124.11812426095729,624.1181242609573,124.1181242609573,2.142131566132689,2427.0,111.2447221612384,0.0,2427.0
Ideal_001,B3,B3_Early_Zstar_Then_Drift,124.11812426095729,122.33194191575916,1.786182345198128,1.4390987261801467,500.0,1.0,124.11812426095729,563.6459729075053,63.645972907505325,2.142131566132689,2427.0,109.76827512378213,0.0,2427.0
Ideal_002,A,A_Pre_Positioned_Zstar,141.5149124111351,141.48885341079583,0.026059000339273553,0.01841431400781696,500.0,1.0,141.5149124111351,641.4888684841412,141.48886848414122,2.194484230218463,2369.0,141.48885341079583,0.0,2369.0
Ideal_002,B1,B1_T0_Zstar,141.5149124111351,130.80215662017514,10.71275579095996,7.570054355711156,500.0,1.0,141.5149124111351,500.0,0.0,2.4144842302184633,2153.0,118.88388683141994,0.0,2153.0
Ideal_002,B2,B2_T0_Zstar_Plus_Atrue,141.5149124111351,141.44906452225752,0.06584788887758464,0.04653070673306893,500.0,1.0,141.5149124111351,641.5149124111351,141.51491241113513,2.4144842302184633,2153.0,128.56068289382125,0.0,2153.0
Ideal_002,B3,B3_Early_Zstar_Then_Drift,141.5149124111351,139.04128818075773,2.473624230377368,1.7479601182883755,500.0,1.0,141.5149124111351,573.2753818000593,73.27538180005934,2.4144842302184633,2153.0,126.37229535117979,0.0,2153.0
Ideal_003,A,A_Pre_Positioned_Zstar,125.63469496117196,125.5739146316373,0.06078032953466561,0.0483786183055963,500.0,1.0,125.63469496117196,625.5740024107008,125.57400241070081,2.1957745590457964,2368.0,125.5739146316373,0.0,2368.0
Ideal_003,B1,B1_T0_Zstar,125.63469496117196,117.84239641811722,7.792298543054741,6.202346052149839,500.0,1.0,125.63469496117196,500.0,0.0,2.4157745590457966,2152.0,107.11071323397688,0.0,2152.0
Ideal_003,B2,B2_T0_Zstar_Plus_Atrue,125.63469496117196,125.54622284141544,0.08847211975651703,0.07042013337466994,500.0,1.0,125.63469496117196,625.6346949611719,125.63469496117193,2.4157745590457966,2152.0,114.11296681937128,0.0,2152.0
Ideal_003,B3,B3_Early_Zstar_Then_Drift,125.63469496117196,123.84482385134044,1.7898711098315232,1.424663076059278,500.0,1.0,125.63469496117196,565.2853416731027,65.28534167310272,2.4157745590457966,2152.0,112.56651100328365,0.0,2152.0
Ideal_004,A,A_Pre_Positioned_Zstar,143.89710367830577,143.85830166364104,0.03880201466472499,0.026965111647743935,500.0,1.0,143.89710367830577,643.8583439598714,143.85834395987138,2.1175241674265974,2455.0,143.85830166364104,0.0,2455.0
Ideal_004,B1,B1_T0_Zstar,143.89710367830577,132.71038447796198,11.186719200343788,7.774110051132545,500.0,1.0,143.89710367830577,500.0,0.0,2.3375241674265976,2224.0,120.22012448749773,0.0,2224.0
Ideal_004,B2,B2_T0_Zstar_Plus_Atrue,143.89710367830577,143.8138443980886,0.08325928021716322,0.05786028911554498,500.0,1.0,143.89710367830577,643.8971036783057,143.8971036783057,2.3375241674265976,2224.0,130.2785636902056,0.0,2224.0
Ideal_004,B3,B3_Early_Zstar_Then_Drift,143.89710367830577,141.2730580775179,2.6240456007878663,1.8235569262423403,500.0,1.0,143.89710367830577,574.0681731596252,74.06817315962519,2.3375241674265976,2224.0,127.97690772743604,0.0,2224.0
Ideal_005,A,A_Pre_Positioned_Zstar,80.41309439172997,80.36778468184282,0.04530970988714955,0.05634618370289876,500.0,1.0,80.41309439172997,580.3678537346044,80.36785373460441,2.1565307569881496,2411.0,80.36778468184282,0.0,2411.0
Ideal_005,B1,B1_T0_Zstar,80.41309439172997,78.17564730478831,2.237447086941657,2.7824412228709927,500.0,1.0,80.41309439172997,500.0,0.0,2.3765307569881498,2188.0,70.93877803369594,0.0,2188.0
Ideal_005,B2,B2_T0_Zstar_Plus_Atrue,80.41309439172997,80.36035502179459,0.052739369935380864,0.06558554963506641,500.0,1.0,80.41309439172997,580.4130943917299,80.41309439172994,2.3765307569881498,2188.0,72.92124317659369,0.0,2188.0
Ideal_005,B3,B3_Early_Zstar_Then_Drift,80.41309439172997,79.90584877907837,0.5072456126516016,0.6307997677350531,500.0,1.0,80.41309439172997,542.0918403328503,42.091840332850325,2.3765307569881498,2188.0,72.50881144652728,0.0,2188.0
