index,strategy,strategy_label,count,mean,median,std,min,max
0,A,A_Pre_Positioned_Zstar,20,0.0982114960014655,0.057721120723836075,0.09223628550085465,0.01841431400781696,0.3028361800666973
1,B1,B1_T0_Zstar,20,4.668881568350231,4.301763114861426,1.6567507366530563,2.7824412228709927,8.202978109159275
2,B2,B2_T0_Zstar_Plus_Atrue,20,0.11480320160081492,0.07331692295215249,0.0924216531439951,0.03448703832895656,0.3204619101163158
3,B3,B3_Early_Zstar_Then_Drift,20,1.1118735319423898,1.0678454394765402,0.38789395082668293,0.6307997677350531,1.952282225637212
