wave_id,t_w0,t_U,duration,dh_raw,dh,true_h0,abs_error,error_pct,error_density
20260422_150147,1220.0,3065.0,1845.0,97.62461061204988,106.72771311653254,102.51419610691897,4.213517009613568,4.11017904800132,0.0022277393214099293
20260422_172640,950.0,3275.0,2325.0,125.49467908100007,139.6435546553568,119.83768803421685,19.805866621139955,16.527243595925224,0.00710849186921515
20260422_172709,960.0,3010.0,2050.0,117.62506897959852,129.79986396945563,115.91076299440732,13.889100975048308,11.982580923670096,0.005845161426180534
20260422_172710,1060.0,3200.0,2140.0,107.5601954796623,118.63134152515491,106.65656167861003,11.974779846544877,11.227419727469442,0.0052464578165745054
20260422_172712,955.0,2720.0,1765.0,101.93391248347574,110.27483039644765,103.52980524528222,6.745025151165436,6.515056350376745,0.003691250056870677
20260422_172713,910.0,2975.0,2065.0,105.18438531736068,115.59549258496001,103.17222796334768,12.423264621612333,12.041287531394344,0.005831131976462152
20260422_172715,1260.0,2905.0,1645.0,104.53231245921491,113.23764324060693,112.33543252247597,0.9022107181309593,0.8031399335649914,0.0004882309626534902
20260422_172717,845.0,2665.0,1820.0,152.02858256298842,167.0914286277193,144.41923108474415,22.67219754297514,15.698877062758532,0.008625756627889303
20260422_172718,1330.0,2990.0,1660.0,132.3108290280733,142.88199289970228,141.1798022634443,1.7021906362579955,1.2056899138317776,0.000726319225199866
20260422_172720,1100.0,2730.0,1630.0,126.66674522101432,137.8284295869896,132.1978382043692,5.630591382620423,4.259215929019882,0.0026130159073741604
20260422_172722,950.0,2705.0,1755.0,124.35467778391542,134.59946061542323,123.79557557274097,10.803885042682253,8.727198038135057,0.004972762414891771
20260422_172723,1115.0,2835.0,1720.0,129.0053550810417,139.0798062274451,132.76433624369685,6.315469983748244,4.7569024652492695,0.00276564096816818
20260422_172725,1405.0,3165.0,1760.0,82.99658872601833,90.06660565906954,90.93845846877204,0.8718528097025029,0.9587283800306492,0.0005447320341083234
20260422_172726,840.0,3270.0,2430.0,121.64438029562594,136.53725733617725,112.81484750658242,23.722409829594824,21.02773735364105,0.008653389857465454
20260422_172728,1185.0,2850.0,1665.0,133.6902021104501,144.06867534659236,140.3324143681137,3.7362609784786684,2.6624361843286444,0.0015990607713685552
20260422_172730,910.0,3155.0,2245.0,148.88217150304612,165.80589085552816,138.83876583691261,26.967125018615548,19.423339624246275,0.008651821658907027
20260422_172731,1070.0,2885.0,1815.0,83.60008528204813,91.51107174811222,87.90554255872189,3.6055291893903245,4.1015948305896535,0.002259831862583831
20260422_172733,1260.0,2940.0,1680.0,86.80602865002561,94.22002873325766,93.66806816953408,0.5519605637235827,0.589272923537362,0.00035075769258176314
20260422_172734,960.0,2995.0,2035.0,149.25573077484458,165.10092373722458,143.8829285174893,21.217995219735286,14.746707923140578,0.0072465395199708
20260422_172736,1085.0,3050.0,1965.0,109.26848386019768,119.95970331322711,109.37964463440218,10.580058678824926,9.672785749294048,0.004922537276994427
20260422_172738,1305.0,3020.0,1715.0,119.93850030374324,130.80484218728603,129.4176140142079,1.387228173078114,1.0719005937830217,0.0006250149234886425
20260422_172739,990.0,2835.0,1845.0,107.95392299360276,117.59286545237697,108.56396671896466,9.028898733412305,8.316662522828652,0.004507676164134771
20260422_172741,980.0,3025.0,2045.0,144.4104473934288,158.73158176808332,139.68846866046536,19.043113107617955,13.632559144094575,0.006666288090021797
20260422_172743,1010.0,2760.0,1750.0,148.24325056141092,160.62032300173897,149.28592741978466,11.334395581954311,7.5924072535534775,0.004338518430601987
20260422_172744,1260.0,3000.0,1740.0,135.6631697994989,147.7588297371913,143.53579408038001,4.223035656811277,2.942148112857743,0.0016908897200331857
20260422_172746,1315.0,3045.0,1730.0,84.29740718141035,91.65025534763747,90.44891783425766,1.201337513379812,1.328194457319205,0.0007677424608781532
20260422_172747,985.0,3355.0,2370.0,113.87423044942638,127.69121353160409,110.43859439083269,17.2526191407714,15.6219111950265,0.006591523710981646
20260422_172749,1020.0,3160.0,2140.0,109.19768031669004,120.90814595710212,109.14025779784947,11.76788815925265,10.782353273389948,0.005038482838032686
20260422_172751,1335.0,3140.0,1805.0,101.2697448536333,110.13602959945547,109.62444153033387,0.5115880691216006,0.4666733640600034,0.00025854480003324287
20260422_172752,1215.0,2860.0,1645.0,90.22255232190003,97.73301353712294,97.44041659474917,0.29259694237377687,0.3002829345349332,0.00018254281734646395
20260422_172754,865.0,2740.0,1875.0,138.36110064283227,152.80892799301515,133.06226669497116,19.74666129804399,14.840166027917423,0.007914755214889293
20260422_172756,1385.0,3130.0,1745.0,90.05210991901107,97.65485020229156,98.21080006702819,0.5559498647366325,0.5660781343367538,0.00032440007698381307
20260422_172757,720.0,2770.0,2050.0,167.73111625161246,187.2970991083822,147.42444501174708,39.87265409663513,27.04616191260411,0.01319324971346542
20260422_172759,1010.0,3045.0,2035.0,133.69655019525766,147.11262323025596,131.24844707808472,15.86417615217124,12.087134366422662,0.005939623767283863
