wave_id,t_w0,t_U,duration,dh_raw,dh,true_h0,abs_error,error_pct,error_density
20260422_150147,1255.0,1975.0,720.0,87.16090029868465,95.28830387886329,102.51419610691897,7.2258922280556845,7.048674722590922,0.009789826003598503
20260422_172640,990.0,1780.0,790.0,111.7526635810631,124.35219802898057,119.83768803421685,4.5145099947637135,3.7671871585796124,0.004768591339974193
20260422_172709,1000.0,1720.0,720.0,104.72859949192946,115.56854406709688,115.91076299440732,0.3422189273104408,0.29524344286039494,0.00041006033730610407
20260422_172710,1095.0,1760.0,665.0,95.84703062210588,105.71254331769016,106.65656167861003,0.9440183609198698,0.8851010627592663,0.0013309790417432574
20260422_172712,995.0,1795.0,800.0,91.11983857637188,98.57587627071601,103.52980524528222,4.95392897456621,4.785026845969033,0.005981283557461291
20260422_172713,955.0,1850.0,895.0,94.08926833218707,103.4021854765026,103.17222796334768,0.22995751315491475,0.22288702850985057,0.0002490357860445258
20260422_172715,1300.0,2080.0,780.0,93.54218548417316,101.33227112847356,112.33543252247597,11.003161394002404,9.794916124795177,0.012557584775378433
20260422_172717,875.0,1545.0,670.0,135.4828422397383,148.90635223151153,144.41923108474415,4.487121146767379,3.107010827480704,0.004637329593254782
20260422_172718,1350.0,1805.0,455.0,117.89863763931622,127.31831876354661,141.1798022634443,13.861483499897673,9.818319106320798,0.021578723310595162
20260422_172720,1130.0,1795.0,665.0,112.95020078489756,122.90320374581525,132.1978382043692,9.294634458553944,7.030852081094585,0.010572709896382834
20260422_172722,985.0,1715.0,730.0,110.9663243206846,120.10812674046554,123.79557557274097,3.687448832275436,2.9786596291631846,0.004080355656387924
20260422_172723,1145.0,1765.0,620.0,114.89599725184716,123.86860238520677,132.76433624369685,8.895733858490075,6.700394179775378,0.010807087386734481
20260422_172725,1445.0,2180.0,735.0,74.19376880565494,80.51392255937695,90.93845846877204,10.42453590939509,11.463286364123755,0.015596307978399667
20260422_172726,880.0,1700.0,820.0,108.48697454367942,121.76899520467444,112.81484750658242,8.954147698092015,7.937029474395706,0.009679304237067934
20260422_172728,1215.0,1790.0,575.0,119.08404641538549,128.32863254857523,140.3324143681137,12.00378181953846,8.55381978111677,0.014876208314985687
20260422_172730,945.0,1630.0,685.0,132.40804131978956,147.45911498888978,138.83876583691261,8.620349151977166,6.208892091494882,0.00906407604597793
20260422_172731,1110.0,1930.0,820.0,74.82066740276194,81.90086696485778,87.90554255872189,6.004675593864107,6.830827066283011,0.008330276910101233
20260422_172733,1295.0,1960.0,665.0,77.58350142061671,84.20981637748368,93.66806816953408,9.458251792050405,10.097626626537751,0.015184400942162033
20260422_172734,995.0,1725.0,730.0,132.74272591017132,146.83487564190864,143.8829285174893,2.9519471244193483,2.051631249679862,0.0028104537666847427
20260422_172736,1115.0,1695.0,580.0,97.46243724499138,106.99851085196553,109.37964463440218,2.381133782436649,2.1769441566531955,0.0037533519942296477
20260422_172738,1340.0,2140.0,800.0,107.30116979067907,117.02257861684232,129.4176140142079,12.39503539736559,9.57754900040486,0.011971936250506075
20260422_172739,1030.0,1745.0,715.0,96.17629290593702,104.76363950262787,108.56396671896466,3.8003272163367967,3.5005419672758977,0.004895862891294962
20260422_172741,1015.0,1715.0,700.0,128.6002793131494,141.3535247597494,139.68846866046536,1.665056099284044,1.191978203534626,0.0017028260050494658
20260422_172743,1050.0,1865.0,815.0,132.33162821144805,143.3802131710793,149.28592741978466,5.905714248705351,3.9559751885378818,0.004853957286549548
20260422_172744,1290.0,1945.0,655.0,120.69349741394359,131.45446889623614,143.53579408038001,12.081325184143878,8.416942450869321,0.0128502938181211
20260422_172746,1345.0,1940.0,595.0,75.16881630307783,81.72542239087971,90.44891783425766,8.723495443377942,9.644665356155214,0.01620952160698355
20260422_172747,1015.0,1670.0,655.0,101.56565586730989,113.88917228810492,110.43859439083269,3.4505778972722254,3.1244311975403516,0.004770123965710461
20260422_172749,1065.0,2045.0,980.0,97.73616739625103,108.21748922286888,109.14025779784947,0.9227685749805943,0.8454887257914987,0.0008627435977464272
20260422_172751,1375.0,2165.0,790.0,90.35409305602876,98.2646997050641,109.62444153033387,11.359741825269765,10.36241705470987,0.013116983613556796
20260422_172752,1255.0,2045.0,790.0,80.67278952371642,87.38829292335416,97.44041659474917,10.052123671395009,10.316174768834777,0.013058449074474402
20260422_172754,900.0,1650.0,750.0,123.32721455085613,136.205185997537,133.06226669497116,3.1429193025658435,2.361991404949232,0.0031493218732656426
20260422_172756,1425.0,2210.0,785.0,80.49476782457182,87.29061985384212,98.21080006702819,10.920180213186072,11.119123564550055,0.014164488617261215
20260422_172757,755.0,1500.0,745.0,149.25423989537336,166.664878805761,147.42444501174708,19.24043379401391,13.051047126194568,0.017518184062006132
20260422_172759,1060.0,2055.0,995.0,119.65965986975421,131.66717041367716,131.24844707808472,0.418723335592432,0.3190310780159688,0.00032063424926228023
20260422_172800,1445.0,2010.0,565.0,96.50630824461413,104.9765729473632,117.35174012279887,12.375167175435678,10.545363164181538,0.018664359582622192
20260422_172802,915.0,1760.0,845.0,105.20030995242996,116.26873900590846,112.54003242207997,3.728706583828483,3.3132268612150533,0.003920978533982312
20260422_172803,1135.0,1730.0,595.0,112.49580901440567,122.36070068200537,130.14343731345713,7.782736631451755,5.980122234444012,0.010050625604107584
20260422_172805,1175.0,2075.0,900.0,90.75154940759509,100.57665881217454,105.18694174443132,4.61028293225678,4.382942270018846,0.004869935855576496
20260422_172807,1070.0,1890.0,820.0,98.38439545089412,110.60898928571245,108.95469141245202,1.6542978732604325,1.5183356052086152,0.0018516287868397747
20260422_172808,1300.0,2040.0,740.0,73.12564745631124,78.86779001077284,88.95797932964702,10.090189318874181,11.342646713549422,0.015327900964255976
20260422_172810,1250.0,2045.0,795.0,97.42475015941105,105.69244011504284,116.90462446697951,11.21218435193667,9.59088180049167,0.012064002264769396
20260422_172812,1360.0,1910.0,550.0,105.44262391317154,114.30554441530276,126.1965558618522,11.891011446549442,9.422611707063204,0.01713202128556946
20260422_172813,1415.0,2145.0,730.0,70.41085940957667,76.46889873439042,85.12124211454709,8.652343380156665,10.164728762431903,0.013924285975934113
20260422_172815,920.0,1660.0,740.0,103.08341197771686,113.92313138871715,110.27663134369318,3.64650004502397,3.3066842907624934,0.00446849228481418
20260422_172817,1170.0,2000.0,830.0,94.13857922393512,102.93022257274262,110.166015546895,7.235792974152375,6.568080853457274,0.007913350425852138
20260422_172818,1150.0,1955.0,805.0,119.48064444549134,132.23328138595227,135.05211268728476,2.8188313013324944,2.0872174786776876,0.002592816743698991
20260422_172820,995.0,2025.0,1030.0,124.59790800180835,140.07111429186133,132.45898576536115,7.612128526500186,5.746781528271979,0.0055793995420116305
20260422_172821,1275.0,1905.0,630.0,67.01517025509654,72.36820857635998,81.62369882217463,9.255490245814656,11.33921934361081,0.017998760862874302
20260422_172823,815.0,1435.0,620.0,105.76233264959325,115.06382780944324,111.52646971429611,3.537358095147127,3.1717655048249838,0.005115750814233845
20260422_172824,810.0,1440.0,630.0,140.16600885104032,152.38094434415405,145.312179901688,7.068764442466033,4.864536783667037,0.007721486958201646
20260422_172826,1065.0,1845.0,780.0,130.37536356880668,142.3775607767009,147.84369578612726,5.4661350094263526,3.6972391554211006,0.004740050199257821
20260422_172827,970.0,1510.0,540.0,100.52949033805432,110.54160634654703,110.01048331578058,0.5311230307664516,0.48279310730949593,0.0008940613098323999
20260422_172829,1230.0,1925.0,695.0,106.18557248533992,114.984294619812,125.76636031982558,10.782065700013575,8.573091940161609,0.012335384086563466
20260422_172831,1300.0,1740.0,440.0,96.92735548175067,104.00793514229571,114.9965909071575,10.98865576486179,9.555636109016033,0.021717354793218256
20260422_172832,995.0,1875.0,880.0,119.88519785797907,131.04602176482524,130.92306669126071,0.12295507356452617,0.09391398832298631,0.00010672044127612081
20260422_172834,1395.0,1870.0,475.0,93.15541898173946,100.43773200970264,110.67337888191084,10.235646872208193,9.248517552834173,0.019470563269124573
20260422_172836,995.0,1630.0,635.0,83.80761708380595,92.72470887306054,92.92344001346443,0.1987311404038934,0.21386545781677652,0.00033679599656185276
20260422_172837,1210.0,1915.0,705.0,99.34853122408106,107.85804728039038,115.86754034720545,8.009493066815068,6.912628888827746,0.009805147360039356
20260422_172839,1120.0,1820.0,700.0,124.90488299653111,135.8541912250172,142.0757165592193,6.221525334202113,4.379020908621556,0.006255744155173652
20260422_172840,885.0,1600.0,715.0,80.0918435563353,88.22379837532085,87.8139540791108,0.40984429621005347,0.4667188723113737,0.0006527536675683548
20260422_172842,1100.0,1895.0,795.0,104.1357922074121,112.61138253352077,121.80207002025556,9.190687486734788,7.5455921933070496,0.009491310934977421
