wave_id,t_w0,t_U,duration,dh_raw,dh,true_h0,abs_error,error_pct,error_density
20260310_145055,1280.0,1770.0,490.0,105.85169193143447,115.30336717148008,121.88215998123312,6.57879280975304,5.3976667387302735,0.011015646405571986
20260310_145559,1000.0,2030.0,1030.0,87.52793388031597,97.70796365884819,94.92139940227453,2.786564256573655,2.935654419467906,0.002850149921813501
20260310_161429,1190.0,2040.0,850.0,71.37384064627716,79.65883569792499,83.23891270469514,3.5800770067701535,4.300965606640147,0.005059959537223702
20260310_163551,1080.0,1620.0,540.0,142.87510097866004,157.08943642501131,148.48623735879738,8.603199066213932,5.793937013452256,0.010729512987874548
20260310_163554,1170.0,1930.0,760.0,118.82933536741541,129.64464959134096,131.23533522208217,1.5906856307412056,1.2120863851563892,0.0015948505067847226
20260310_163556,1150.0,2045.0,895.0,136.95599885952936,151.45887288833154,144.76846054501362,6.690412343317917,4.621457131014826,0.0051636392525305315
20260310_163557,1370.0,1955.0,585.0,90.26038382524368,98.05279239049942,107.65010322480316,9.597310834303741,8.915282518830384,0.015239799177487837
20260310_163559,1135.0,1875.0,740.0,113.52239086198642,124.77308603827856,123.92750159493805,0.8455844433405133,0.682321867590246,0.0009220565778246568
20260310_202157,1205.0,1690.0,485.0,82.67367699098347,90.39523340188359,95.10388163589053,4.708648234006944,4.951057888503662,0.010208366780419921
20260310_202159,1390.0,2065.0,675.0,96.88332763328529,105.22337229275324,116.11609390925392,10.89272161650068,9.380888772415535,0.013897612996171163
20260310_202200,1150.0,2095.0,945.0,82.8874671887433,92.02659162357489,94.72657464134983,2.69998301777494,2.850290985394029,0.003016180936924898
20260310_202202,1405.0,2085.0,680.0,96.55142951423937,104.9095077132683,115.81604861618263,10.90654090291433,9.417123993807532,0.013848711755599312
20260310_202203,1170.0,1920.0,750.0,87.80240894916275,98.46687754799481,98.53381757523861,0.06694002724380255,0.06793609431877373,9.058145909169831e-05
20260310_202204,1305.0,2075.0,770.0,84.5374788100244,92.70664776780725,99.85735806724226,7.150710299435005,7.160924780945874,0.009299902312916719
20260310_202206,1195.0,1790.0,595.0,93.97265887660838,104.40609599745144,105.1272677406586,0.7211717432071509,0.685998750567959,0.001152939076584805
20260310_202207,1330.0,1980.0,650.0,97.50752726488878,106.9731358261227,112.79356058471893,5.820424758596232,5.160245610142368,0.007938839400219028
20260310_202209,1145.0,2135.0,990.0,113.13522691807134,126.724840243471,121.839648881974,4.885191361496993,4.009525147457767,0.004050025401472492
20260310_202210,1125.0,2040.0,915.0,106.7603079489194,119.13619751732776,115.80868911375433,3.3275084035734324,2.8732804326149926,0.003140197194114746
20260316_125800,975.0,1970.0,995.0,132.1441968434087,147.34662788853515,130.10689841281166,17.239729475723493,13.25043459342498,0.013317019691884403
20260316_125801,1175.0,1955.0,780.0,114.81028759968444,127.39096625631825,125.19573596472479,2.195230291593461,1.7534385453926244,0.0022479981351187493
20260316_125802,1205.0,2225.0,1020.0,83.1553921652401,93.13440736090472,95.99658703498919,2.862179674084473,2.9815431594888424,0.00292308152891063
20260316_125804,1295.0,1990.0,695.0,90.62258557552926,98.77568681306103,107.1107850386764,8.335098225615369,7.781754398126823,0.011196768918168091
20260316_125805,1320.0,1845.0,525.0,132.52061323339976,145.69740545484325,147.2140457420109,1.516640287167661,1.0302279782633899,0.001962339006215981
20260316_125816,1195.0,1950.0,755.0,83.97530429247891,91.37103897564342,98.25620949864671,6.885170523003296,7.007364275637079,0.009281277186274276
