eval_id,w_c_threshold,zeta_target,V_ratio,f_s,V_target,MAE_pct,CI_width,w_MAE,w_CI,loss,is_penalty
1,0.2120118997676641,-27.84393400363511,0.625871199874447,5.2,0.3129355999372235,6.305425496956452,3.291303825491394,0.7,0.3,5.401188995516934,0
2,0.2108249162171136,-39.42249423592614,0.3299680945407002,10.0,0.1649840472703501,6.396195908423523,3.40915859427266,0.7,0.3,5.500084714178264,0
3,0.1573661025450524,-42.88451951884978,0.3785898502809485,2.2,0.18929492514047425,6.205823794111196,3.6259804094989816,0.7,0.3,5.431870778727531,0
4,0.1712217116993335,-37.09077575888975,0.6522300081375234,7.2,0.3261150040687617,6.325344016132322,3.095407660703621,0.7,0.3,5.356363109503711,0
5,0.1596644645677009,-34.85449129483697,0.473059298817251,0.2,0.2365296494086255,6.244079673868891,3.562629251964614,0.7,0.3,5.439644547297608,0
6,0.1661024108617484,-29.17335075242636,0.6615739622221144,6.2,0.3307869811110572,6.262627812411945,3.2689242127925877,0.7,0.3,5.364516732526138,0
7,0.2496987209900105,-30.428786902631572,0.734677958142653,2.2,0.3673389790713265,6.264361789319826,3.220995872582137,0.7,0.3,5.351352014298518,0
8,0.233008963237248,-44.749688363736574,0.4684898696225541,1.2,0.23424493481127706,6.28456942456716,3.2363383021410423,0.7,0.3,5.370100087839325,0
9,0.2271380817595837,-29.882388013106425,0.5867304847087327,1.2,0.29336524235436634,6.337605665869494,3.2863175276718484,0.7,0.3,5.4222192244102,0
10,0.1980557168711241,-38.867269219887696,0.6520670284530652,8.2,0.3260335142265326,6.249518510285371,3.135115618330346,0.7,0.3,5.315197642698863,0
11,0.2120118997676641,-27.84393400363511,0.625871199874447,5.2,0.3129355999372235,6.305425496956452,3.291303825491394,0.7,0.3,5.401188995516934,0
12,0.21082491621711366,-39.42249423592614,0.32996809454070025,10.0,0.16498404727035013,6.396195908423523,3.4091585942726597,0.7,0.3,5.500084714178264,0
13,0.1573661025450524,-42.88451951884978,0.37858985028094855,2.2,0.18929492514047427,6.205823794111196,3.6259804094989816,0.7,0.3,5.431870778727531,0
14,0.17122171169933353,-37.09077575888975,0.6522300081375234,7.2,0.3261150040687617,6.325344016132322,3.095407660703621,0.7,0.3,5.356363109503711,0
15,0.15966446456770092,-34.85449129483697,0.473059298817251,0.2,0.2365296494086255,6.244079673868891,3.562629251964614,0.7,0.3,5.439644547297608,0
16,0.1661024108617484,-29.17335075242636,0.6615739622221144,6.2,0.3307869811110572,6.262627812411945,3.2689242127925873,0.7,0.3,5.364516732526138,0
17,0.24969872099001056,-30.428786902631575,0.734677958142653,2.2,0.3673389790713265,6.264361789319826,3.2209958725821375,0.7,0.3,5.351352014298518,0
18,0.23300896323724804,-44.749688363736574,0.4684898696225541,1.2,0.23424493481127706,6.28456942456716,3.2363383021410423,0.7,0.3,5.370100087839325,0
19,0.22713808175958372,-29.882388013106425,0.5867304847087327,1.2,0.29336524235436634,6.337605665869494,3.2863175276718484,0.7,0.3,5.4222192244102,0
20,0.1980557168711241,-38.867269219887696,0.6520670284530652,8.2,0.3260335142265326,6.249518510285371,3.135115618330346,0.7,0.3,5.3151976426988625,0
21,0.18533285642091857,-40.568854075459946,0.7766068425639112,8.2,0.3883034212819556,6.439540375136465,2.868711092589196,0.7,0.3,5.368291590372284,0
22,0.18932308638615233,-24.741638491272617,0.5363862503967971,8.2,0.26819312519839855,6.333997842600281,3.5566596325937567,0.7,0.3,5.500796379598324,0
23,0.19104047485448347,-32.88509097749711,0.7108279505009522,8.2,0.3554139752504761,6.297827318541351,3.1406683831661844,0.7,0.3,5.350679637928801,0
24,0.1996870054207307,-37.140125076633545,0.7983972251920453,9.2,0.39919861259602263,6.313633479475871,3.0774190752700967,0.7,0.3,5.342769158214138,0
25,0.19938437569070583,-41.84554728951015,0.5331323375175739,3.2,0.26656616875878697,6.257572754873302,3.2277281561839404,0.7,0.3,5.348619375266494,0
26,0.17742313716694652,-32.79616072675851,0.6963760898319243,4.2,0.34818804491596217,6.329104743826764,3.145913477770518,0.7,0.3,5.37414736400989,0
27,0.21968295468169857,-38.48874462277658,0.5875341753054105,8.2,0.29376708765270526,6.249802592554953,3.2029968245507954,0.7,0.3,5.335760862153705,0
28,0.18194604894983493,-46.12996511412313,0.7511181204654825,8.2,0.37555906023274127,6.52329438635839,2.8405042221831605,0.7,0.3,5.418457337105821,0
