eval_id,w_c_threshold,zeta_target,V_ratio,f_s,V_target,MAE_pct,CI_width,w_MAE,w_CI,loss,is_penalty
1,0.2348047599070656,-37.08705943442878,0.8606969598995575,5.0,0.43034847994977876,6.244338327463584,3.0367583199019657,0.7,0.3,5.2820643251950985,0
2,0.2343299664868454,-42.83528082634631,0.6239744756325601,10.0,0.31198723781628007,6.210244169803386,3.1599402020683245,0.7,0.3,5.295152979482867,0
3,0.2129464410180209,-44.55401678240769,0.6628718802247588,2.0,0.3314359401123794,6.225783323483553,3.048891709918017,0.7,0.3,5.272715839413891,0
4,0.2184886846797334,-41.67769009306584,0.8817840065100186,7.0,0.4408920032550093,6.300071726896651,2.8671663711991617,0.7,0.3,5.270200120187404,0
5,0.2138657858270803,-40.5674779477914,0.7384474390538008,0.2,0.3692237195269004,6.22959443239566,3.0434536003142663,0.7,0.3,5.273752182771242,0
6,0.2164409643446993,-37.74705356503436,0.8892591697776915,6.0,0.44462958488884574,6.25538439467768,2.92766029824188,0.7,0.3,5.257067165746939,0
7,0.2498794883960042,-38.37031973889511,0.9477423665141224,2.0,0.4738711832570612,6.273624671693238,3.0262818205222843,0.7,0.3,5.299421816341951,0
8,0.2432035852948992,-45.479987130933054,0.7347918956980433,1.0,0.36739594784902163,6.234253773263003,3.0596429077487515,0.7,0.3,5.281870513608727,0
9,0.2408552327038335,-38.09905787884716,0.8293843877669861,1.0,0.41469219388349304,6.240772054433924,3.08522236371204,0.7,0.3,5.294107147217359,0
10,0.2292222867484496,-42.55963720136269,0.8816536227624522,8.0,0.4408268113812261,6.264924833512702,2.9036893959660426,0.7,0.3,5.256554202248704,0
11,0.2116504142948365,-45.811321518403616,0.9819121786756364,9.0,0.4909560893378182,6.464904341531838,2.7017300917084897,0.7,0.3,5.3359520665848335,0
12,0.2343260953964023,-37.451816262964414,0.7231218395595755,9.0,0.36156091977978777,6.213936367278994,3.1618855567597,0.7,0.3,5.2983211241232055,0
13,0.2392015840144821,-43.02859749406283,0.6867478703428297,2.0,0.34337393517141485,6.23310939723466,3.131994800777857,0.7,0.3,5.302775018297619,0
14,0.2286859426334162,-45.44486325350598,0.9528399242792448,6.0,0.4764199621396224,6.338072347161551,2.8011186926151894,0.7,0.3,5.276986250797641,0
15,0.2462292654253677,-43.59644086034052,0.9895791786585808,2.0,0.4947895893292904,6.329739372085991,2.8913235844033203,0.7,0.3,5.298214635781189,0
