n_samples,mean_rel_error_pct,std_rel_error_pct,ci95_half_pct,ci95_width_pct,ci95_lower_pct,ci95_upper_pct
1,6.652721869899085,4.598305559324413,9.196611118648827,18.393222237297653,-2.543889248749742,15.849332988547912
2,7.212885789047789,2.4920599252650186,4.984119850530037,9.968239701060075,2.2287659385177516,12.197005639577826
3,6.973084960064344,1.5007425225976763,3.0014850451953525,6.002970090390705,3.971599914868991,9.974570005259697
4,6.95649867932454,1.6939998869943827e-15,3.3879997739887654e-15,6.775999547977531e-15,6.956498679324537,6.956498679324542
