eval_id,w_c_threshold,zeta_target,V_ratio,f_s,V_target,MAE_pct,CI_width,w_MAE,w_CI,loss,is_penalty
1,0.22860356993029923,-37.08705943442878,0.9303484799497788,5.0,0.4651742399748894,6.24870491302188,2.969510097252809,0.7,0.3,5.264946468291159,0
2,0.22824747486513408,-42.835280826346306,0.8119872378162801,10.0,0.40599361890814006,6.2416381131268155,2.9741301165213283,0.7,0.3,5.261385714145169,0
3,0.2122098307635157,-44.55401678240769,0.8314359401123794,2.0,0.4157179700561897,6.3328696852210244,2.839566311643128,0.7,0.3,5.284878673147655,0
4,0.21636651350980005,-41.677690093065834,0.9408920032550093,7.0,0.47044600162750466,6.3240610119066,2.795644241662694,0.7,0.3,5.265535980833428,0
5,0.21289933937031028,-40.5674779477914,0.8692237195269005,0.2,0.43461185976345024,6.307499564204812,2.8771610164994597,0.7,0.3,5.278397999893206,0
6,0.2148307232585245,-37.74705356503436,0.9446295848888457,6.0,0.47231479244442287,6.312923888938513,2.859015543267669,0.7,0.3,5.27675138523726,0
7,0.23990961629700316,-38.370319738895105,0.9738711832570612,2.0,0.4869355916285306,6.278651451256169,2.9627260348248794,0.7,0.3,5.283873826326783,0
8,0.23490268897117442,-45.479987130933054,0.8673959478490216,1.0,0.4336979739245108,6.3024397617112005,2.9061586878913044,0.7,0.3,5.283555439565232,0
9,0.23314142452787512,-38.09905787884716,0.9146921938834931,1.0,0.45734609694174655,6.248713528485144,2.9744194384883476,0.7,0.3,5.266425301486104,0
10,0.22441671506133723,-42.55963720136269,0.9408268113812261,8.0,0.4704134056906131,6.307029137464247,2.8461058391045673,0.7,0.3,5.268752147956342,0
11,0.21123781072112738,-45.811321518403616,0.9909560893378182,9.0,0.4954780446689091,6.46841370836228,2.7021951710955765,0.7,0.3,5.338548147182268,0
12,0.22824457154730177,-37.451816262964414,0.8615609197797878,9.0,0.4307804598898939,6.245959428326562,3.0060692983481583,0.7,0.3,5.27399238933304,0
13,0.23190118801086163,-43.02859749406283,0.8433739351714149,2.0,0.42168696758570745,6.2422466613284,2.9472913165756376,0.7,0.3,5.253760057902571,0
14,0.22401445697506217,-45.44486325350598,0.9764199621396225,6.0,0.4882099810698112,6.356255287499411,2.779095868011305,0.7,0.3,5.283107461652979,0
15,0.23717194906902578,-43.596440860340515,0.9947895893292904,2.0,0.4973947946646452,6.3335347826997515,2.8373127621011736,0.7,0.3,5.284668176520178,0
16,0.23963211635880105,-36.397226777529546,0.8669720188776162,5.0,0.4334860094388081,6.234127586662321,3.069770588450172,0.7,0.3,5.284820487198677,0
17,0.23442250402342082,-36.31860282428412,0.890325139169419,3.0,0.4451625695847095,6.238162733753573,3.024287779744136,0.7,0.3,5.274000247550743,0
18,0.21309246198409684,-42.56057084873317,0.995305060832437,9.0,0.4976525304162185,6.414769195994121,2.7555006776969924,0.7,0.3,5.316988640504982,0
19,0.2354956477916961,-43.4536082525343,0.8834325376370747,4.0,0.44171626881853737,6.2804551083181055,2.9230933360135647,0.7,0.3,5.273246576626743,0
20,0.23139133564543282,-41.189975736145804,0.8459671592018008,7.0,0.4229835796009004,6.252324956036679,2.9756704615871126,0.7,0.3,5.269328607701809,0
21,0.22013993726833997,-39.70228413162214,0.8142101471430997,10.0,0.40710507357154985,6.261845305882606,2.9813925229941938,0.7,0.3,5.277709471016081,0
22,0.2303709938462725,-39.607165396580925,0.8008960968883796,10.0,0.4004480484441898,6.230276277584546,3.042925655707821,0.7,0.3,5.274071091021528,0
23,0.2209374024120251,-44.280215395128224,0.8007126917222396,10.0,0.4003563458611198,6.266754021971308,2.9334447064668234,0.7,0.3,5.266761227319963,0
24,0.22564133937372918,-42.51580691796521,0.8259075133055831,10.0,0.41295375665279155,6.249191790978349,2.9595439715658567,0.7,0.3,5.2622974451546005,0
25,0.22650386276984633,-44.28585937452825,0.8378927490394088,2.0,0.4189463745197044,6.262188766545056,2.9218219335730584,0.7,0.3,5.260078716653457,0
26,0.22221638473870003,-46.193771885376385,0.8442749062082769,2.0,0.42213745310413847,6.295309977664856,2.85634041449443,0.7,0.3,5.263619108713728,0
27,0.21794108889867092,-35.02162589270554,0.9043688701985161,2.0,0.45218443509925804,6.256559833835194,2.9770998243478854,0.7,0.3,5.272721830989001,0
28,0.22643359537631016,-44.724131947663736,0.8497816882420391,3.0,0.4248908441210196,6.271818253482802,2.89982933559552,0.7,0.3,5.260221578116617,0
29,0.23096451535806412,-41.5835361917529,0.8343729498752765,2.0,0.4171864749376383,6.248449847232274,2.9849701622978717,0.7,0.3,5.269405941751953,0
30,0.23724830154425397,-43.71513997027975,0.8838899786798561,8.0,0.44194498933992804,6.28755362183452,2.9183359966227838,0.7,0.3,5.276788334270998,0
31,0.2274655812022587,-44.97233936657877,0.8144592332580141,0.2,0.40722961662900703,6.252321950233548,2.9276336189422727,0.7,0.3,5.254915450846165,0
32,0.22784960515804728,-45.03672276012786,0.8186532358601478,0.2,0.4093266179300739,6.254579400294075,2.9238807858382616,0.7,0.3,5.25536981595733,0
33,0.232493647432876,-46.16144126779529,0.8007448027540289,0.2,0.40037240137701446,6.255642404921717,2.9415757194045637,0.7,0.3,5.261422399266571,0
34,0.2295895837835354,-43.08221979803824,0.8542045695547756,0.2,0.4271022847773878,6.2574180145522,2.923195366247891,0.7,0.3,5.257151220060907,0
35,0.22307299000672934,-40.209993976608416,0.9188740449713019,5.0,0.45943702248565094,6.259760315597425,2.8860535356784314,0.7,0.3,5.247648281621726,0
36,0.21824559298973112,-39.34031908309429,0.9132662334721301,5.0,0.45663311673606505,6.288561074913204,2.881223331453694,0.7,0.3,5.266359751875351,0
37,0.22285159946303562,-40.47667843014142,0.958764880176042,5.0,0.479382440088021,6.31659511091679,2.8411684675504922,0.7,0.3,5.2739671179069,0
38,0.2155360332899156,-41.94833773808118,0.9202731030717485,5.0,0.46013655153587424,6.330567746168251,2.8027457033985597,0.7,0.3,5.272221133337343,0
39,0.21935462778802042,-38.99131603429289,0.9299103640369387,4.0,0.46495518201846936,6.293862882197428,2.860021621508541,0.7,0.3,5.263710503990762,0
40,0.22256697019614036,-40.124499511779696,0.955262710656074,7.0,0.477631355328037,6.28203986334736,2.8454582219244924,0.7,0.3,5.251065370920499,0
41,0.2171215977338122,-40.311156567279056,0.9540681947851632,7.0,0.4770340973925816,6.332644877717912,2.8207040373767285,0.7,0.3,5.279062625615557,0
42,0.2145773341200359,-38.399236459797876,0.972776256062877,7.0,0.4863881280314385,6.324545563462257,2.8070825027453457,0.7,0.3,5.269306645247183,0
43,0.22170569715915672,-40.93890576277866,0.9315482085714786,1.0,0.4657741042857393,6.298620391291008,2.8495606356476078,0.7,0.3,5.2639024645979875,0
44,0.22350533013481047,-36.63378766315132,0.9612419677162227,7.0,0.48062098385811136,6.249973154236178,2.9153638781496904,0.7,0.3,5.249590371410231,0
45,0.22427503292021417,-35.566877308552456,0.9856272791389288,6.0,0.4928136395694644,6.268872408224089,2.9308871454644847,0.7,0.3,5.267476829396207,0
46,0.21043695943257532,-36.80651525057861,0.9663290674090208,5.0,0.4831645337045104,6.322143369081989,2.856663147285359,0.7,0.3,5.282499302542999,0
47,0.219235229578746,-35.648058640125626,0.9435341368637602,8.0,0.4717670684318801,6.269364893105564,2.936764949129056,0.7,0.3,5.269584909912611,0
48,0.22349273469210762,-37.26230456346353,0.9001283001341337,7.0,0.45006415006706685,6.237133947379363,2.9773626404821982,0.7,0.3,5.259202555310214,0
49,0.22534883252740928,-37.86752447282102,0.9318530410143593,3.0,0.46592652050717964,6.259474674670699,2.9337778386280298,0.7,0.3,5.261765623857897,0
50,0.22919117287367893,-38.6718648753511,0.89255976029665,9.0,0.446279880148325,6.248684036364158,2.9678104625394814,0.7,0.3,5.264421964216755,0
51,0.21328447165885744,-36.74644856266207,0.981254765515435,1.0,0.4906273827577175,6.3135957295415785,2.8301740873686096,0.7,0.3,5.268569236889688,0
52,0.23336535299654995,-35.80557602556608,0.8738947403818912,4.0,0.4369473701909456,6.223280420013656,3.051066773866417,0.7,0.3,5.271616326169483,0
53,0.22103658108822183,-35.05773155220804,0.9187466081980501,6.0,0.45937330409902505,6.2535838511509905,2.960294161995515,0.7,0.3,5.265596944404347,0
54,0.2164638826851421,-36.08797974946809,0.9634248284670336,5.0,0.4817124142335168,6.289703987885793,2.8888085645025026,0.7,0.3,5.269435360870806,0
55,0.22726010594669255,-37.715982427115335,0.9091574641376988,7.0,0.4545787320688494,6.253573097546842,2.9617226016023115,0.7,0.3,5.266017948763483,0
56,0.22508928533248224,-41.027026076922844,0.9512717219261893,5.0,0.4756358609630946,6.28662437654248,2.8573690216836263,0.7,0.3,5.257847770084823,0
57,0.21397392854650132,-40.00337152223814,0.9253271209613204,8.0,0.4626635604806602,6.333127333006463,2.8275188032667424,0.7,0.3,5.281444774084546,0
58,0.2120848363418983,-36.96700310005224,0.9473957522749711,9.0,0.47369787613748554,6.326819578635058,2.8605976303498943,0.7,0.3,5.286952994149508,0
59,0.23680641086536114,-42.137905184130595,0.9697423745047585,7.0,0.48487118725237927,6.314805888666517,2.882136533335425,0.7,0.3,5.2850050820671886,0
60,0.2196234420648216,-39.33618552263513,0.9378623918142996,3.0,0.4689311959071498,6.293653640002765,2.8715734195915323,0.7,0.3,5.267029573879395,0
