param_name,param_value,n_valid,mean_abs_err,mean_rel_err
w_c_threshold,9999.0,200,7.032864181701461,0.058223073681725204
w_c_threshold,0.1,200,7.1207635585322455,0.05849005116826857
w_c_threshold,0.2,200,7.075149601636554,0.058454294511214755
w_c_threshold,0.3,200,7.033001871477606,0.05822203229210721
w_c_threshold,0.4,200,7.032864181701461,0.0582230736817252
f_s,0.5,200,7.120453963315873,0.05847967342346018
f_s,1.0,200,7.1207635585322455,0.05849005116826857
f_s,3.0,200,7.117649941426709,0.05845139665074111
f_s,5.0,200,7.116000279762926,0.0584297982613935
f_s,7.0,200,7.117585552426196,0.058448209886826606
f_s,9.0,200,7.1176854984290525,0.05844873814015386
zeta_target,-23.0,200,7.4358208583610415,0.060310591989208025
zeta_target,-33.0,200,7.044903010467695,0.058198590888492635
zeta_target,-43.0,200,7.1507698216053495,0.06030299719027122
V_target,0.1,200,8.928239804276627,0.07146760740863192
V_target,0.2,200,7.686147525623108,0.062051332364618864
V_target,0.3,200,7.1207635585322455,0.058490051168268574
V_target,0.4,200,7.102126613317901,0.059747183214661374
