eval_id,w_c_threshold,zeta_target,V_ratio,f_s,V_target,MAE_pct,CI_width,w_MAE,w_CI,loss,is_penalty
1,0.3290535489544884,-24.638131697532373,0.6865681597740045,5.0,0.34328407988700227,5.8625380226289305,2.4128697335816387,0.7,0.3,4.827637535914743,0
2,0.3237121229770114,-38.23883409805153,0.1539425701732605,10.0,0.07697128508663025,5.878256522852081,2.4446879410131346,0.7,0.3,4.848185948300396,0
3,0.0831474614527358,-42.30548613694677,0.2414617305057074,2.0,0.1207308652528537,5.038374029314671,4.127738231158588,0.7,0.3,4.765183289867846,0
4,0.1454977026470008,-35.49989173805756,0.734014014647542,7.0,0.367007007323771,6.181979199436461,2.13791104650852,0.7,0.3,4.968758753558078,0
5,0.0934900905546541,-32.87305050147073,0.4115067378710518,0.2,0.2057533689355259,5.084469491117008,3.487799820050478,0.7,0.3,4.605468589797049,0
6,0.1224608488778678,-26.19972495298309,0.7508331319998058,6.0,0.3754165659999029,5.8657111897777074,2.42444233216542,0.7,0.3,4.833330532494021,0
7,0.4986442444550475,-27.67441723935003,0.8824203246567753,2.0,0.44121016232838767,5.867206034449722,2.4123667083142144,0.7,0.3,4.830754236609069,0
8,0.4235403345676162,-44.49639812229695,0.4032817653205974,1.0,0.2016408826602987,5.867206034449722,2.4123667083142144,0.7,0.3,4.830754236609069,0
9,0.3971213679181268,-27.032592302629443,0.6161148724757187,1.0,0.30805743623785936,5.867206034449722,2.4123667083142144,0.7,0.3,4.830754236609069,0
10,0.2662507259200585,-37.58664159250993,0.7337206512155174,8.0,0.3668603256077587,5.829854013713261,2.257094076433725,0.7,0.3,4.7580260325294,0
11,0.0685671608169107,-45.28035894979428,0.9593024020201816,9.0,0.4796512010100908,10.641292515255357,3.267601121571625,0.7,0.3,8.429185097150237,0
12,0.3236685732095267,-25.50117240790688,0.3770241390090448,9.0,0.1885120695045224,5.874047710902047,2.43143731632169,0.7,0.3,4.841264592527939,0
13,0.3785178201629243,-38.69623514220222,0.2951827082713668,2.0,0.1475913541356834,5.867206034449722,2.4123667083142144,0.7,0.3,4.830754236609069,0
14,0.2602168546259328,-44.41329251945611,0.8938898296283011,6.0,0.44694491481415055,5.729868872362648,2.105578644208154,0.7,0.3,4.6425818039163,0
15,0.4575792360353866,-40.03979310705568,0.976553151981807,2.0,0.4882765759909035,5.867206034449722,2.4123667083142144,0.7,0.3,4.830754236609069,0
16,0.4944817453820159,-23.00593835754759,0.4013740849492728,5.0,0.19687127225350357,5.867206034449722,2.4123667083142144,0.7,0.3,4.830754236609069,0
17,0.4163375603513125,-22.81990846817225,0.5064631262623855,3.0,0.24693752451157489,5.867206034449722,2.4123667083142144,0.7,0.3,4.830754236609069,0
18,0.0963869297614527,-37.5888506688776,0.9788727737459664,9.0,0.4894363868729832,8.545550029680527,2.469303750781271,0.7,0.3,6.72267614601075,0
19,0.4324347168754415,-39.70184095465705,0.4754464193668363,4.0,0.23772320968341815,5.867206034449722,2.4123667083142144,0.7,0.3,4.830754236609069,0
20,0.3708700346814924,-34.345924732844985,0.306852216408103,7.0,0.1534261082040515,5.867206034449722,2.4123667083142144,0.7,0.3,4.830754236609069,0
21,0.1823815078258791,-30.61194323437555,0.8435450014194422,0.2,0.4217725007097211,5.959801224449425,2.2032141064820685,0.7,0.3,4.832825089059218,0
22,0.2190648338208111,-31.067540284048786,0.151214783516245,0.2,0.0756073917581225,5.862273468976519,3.430339885760374,0.7,0.3,5.132693394011676,0
23,0.2391593663806501,-31.772110273802134,0.5907030492563614,6.0,0.2953515246281807,5.883848341364202,2.466734711610935,0.7,0.3,4.858714252438222,0
24,0.174772536774101,-28.617893000010277,0.5285498588031676,6.0,0.2642749294015838,5.761861690222426,2.753923305245908,0.7,0.3,4.859480174729471,0
25,0.0547523177698832,-34.02285017585959,0.6545615794571588,0.2,0.3272807897285794,6.195150646458547,2.228432674323928,0.7,0.3,5.005135254818161,0
26,0.2797458821580594,-41.71413801393244,0.8116046513892885,3.0,0.40580232569464425,5.778368618798023,2.2137534536319863,0.7,0.3,4.708984069248212,0
27,0.2096081802002274,-35.842052943998326,0.472352892296692,10.0,0.236176446148346,5.869126342126671,2.601332788359888,0.7,0.3,4.888788275996635,0
28,0.1290148540671063,-20.87440323749729,0.2056229785291662,0.2,0.09397548553261627,5.593519061620162,4.533301789419455,0.7,0.3,5.275453879959949,0
29,0.2971790700583012,-29.690929317920144,0.3384867827778416,6.0,0.1692433913889208,5.911149885649928,2.533178287045548,0.7,0.3,4.897758406068613,0
30,0.35628177859364,-33.08437811052781,0.5710467812764637,4.0,0.28552339063823184,5.867206034449722,2.4123667083142144,0.7,0.3,4.830754236609069,0
