wave_id,trajectory_file,C_p_true,theta_true,C_p_calc,theta_calc,C_p_error,theta_error,t1_ref,t2_ref,t3_ref,t1_obs,t2_obs,t3_obs,node1_X0,node1_Y0,node1_T0,node1_t_w0,node1_t_peak,node1_t_U,node1_dh,node1_error_pct,node1_x_enc,node1_y_enc,node1_z_enc,node2_X0,node2_Y0,node2_T0,node2_t_w0,node2_t_peak,node2_t_U,node2_dh,node2_error_pct,node2_x_enc,node2_y_enc,node2_z_enc,node3_X0,node3_Y0,node3_T0,node3_t_w0,node3_t_peak,node3_t_U,node3_dh,node3_error_pct,node3_x_enc,node3_y_enc,node3_z_enc
run_20260325_142734,Analysis_C_Data/Trajectories/traj_run_20260325_142734_L6800_H2000_Thneg15.npz,2.748380010527255,-15.0,2.748380010527258,-15.000000000000005,3.1086244689504383e-15,5.329070518200751e-15,9349.189913108534,10296.452863254615,9703.547136745385,9671.304141565448,10618.56709171153,10025.661365202299,-317.4348697394789,0.0,7906.304141565448,9401.304141565448,9671.304141565448,10161.304141565448,,,70.86513026052108,0.0,362.21266836940777,-3129.2712756661863,-2766.509719177791,8853.56709171153,10348.56709171153,10618.56709171153,11108.56709171153,,,-2740.971275666186,-2766.509719177791,362.2126683694077,-1369.301768969045,3801.7858995878737,8260.661365202299,9755.661365202299,10025.661365202299,10515.661365202299,,,-981.0017689690451,3801.7858995878737,362.21266836940765
run_20260325_142735,Analysis_C_Data/Trajectories/traj_run_20260325_142735_L6800_H2000_Thneg15.npz,2.483180993846072,-15.0,2.4831809938460707,-14.999999999999998,1.3322676295501878e-15,1.7763568394002505e-15,9285.341360058355,10325.53674924169,9674.46325075831,9567.816309958154,10608.011699141489,9956.938200658109,-277.75551102204406,0.0,8022.816309958155,9332.816309958154,9567.816309958154,10022.816309958154,,,62.144488977955916,0.0,327.5135104865323,-3089.5919169487515,-2766.509719177791,9063.011699141489,10373.011699141489,10608.011699141489,11063.011699141489,,,-2749.6919169487514,-2766.509719177791,327.5135104865323,-1329.6224102516103,3801.7858995878737,8411.938200658109,9721.938200658109,9956.938200658109,10411.938200658109,,,-989.7224102516103,3801.7858995878737,327.51351048653237
run_20260325_143408,Analysis_C_Data/Trajectories/traj_run_20260325_143408_L6800_H2000_Thneg15.npz,1.8274040110490282,-15.0,1.8274040110490277,-14.999999999999977,4.440892098500626e-16,2.3092638912203256e-14,9056.438474207973,10429.805133036587,9570.194866963413,9326.538674608775,10699.90533343739,9840.295067364215,-208.97795591182364,0.0,8106.538674608774,9101.538674608775,9326.538674608775,9736.538674608775,,,59.422044088176335,0.0,254.78860381264414,-3020.814361838531,-2766.509719177791,9479.90533343739,10474.90533343739,10699.90533343739,11109.90533343739,,,-2752.414361838531,-2766.509719177791,254.78860381264417,-1260.8448551413899,3801.7858995878737,8620.295067364215,9615.295067364215,9840.295067364215,10250.295067364215,,,-992.4448551413899,3801.7858995878737,254.78860381264417
run_20260325_143409,Analysis_C_Data/Trajectories/traj_run_20260325_143409_L6800_H2000_Thneg15.npz,2.526889839250092,-15.0,2.5268898392500905,-15.000000000000005,1.3322676295501878e-15,5.329070518200751e-15,9296.71309530726,10320.356768871667,9679.643231128333,9498.356381880405,10522.000055444812,9881.28651770148,-259.2384769539078,0.0,8118.356381880405,9328.356381880405,9498.356381880405,9808.356381880405,,,44.3615230460922,0.0,291.6133951867635,-3071.0748828806154,-2766.509719177791,9142.000055444812,10352.000055444812,10522.000055444812,10832.000055444812,,,-2767.4748828806155,-2766.509719177791,291.61339518676346,-1311.105376183474,3801.7858995878737,8501.28651770148,9711.28651770148,9881.28651770148,10191.28651770148,,,-1007.5053761834739,3801.7858995878737,291.61339518676346
run_20260325_143527,Analysis_C_Data/Trajectories/traj_run_20260325_143527_L6800_H2000_Thneg15.npz,2.6549405699020077,-15.0,2.6549405699020077,-14.999999999999998,0.0,1.7763568394002505e-15,9328.03770874332,10306.08798058687,9693.91201941313,9556.224081488812,10534.274353332361,9922.098392158621,-309.49899799599194,0.0,7921.224081488812,9366.224081488812,9556.224081488812,9921.224081488812,,,50.201002004008046,0.0,349.01933250486456,-3121.3354039226992,-2766.509719177791,8899.274353332361,10344.274353332361,10534.274353332361,10899.274353332361,,,-2761.6354039226994,-2766.509719177791,349.0193325048646,-1361.365897225558,3801.7858995878737,8287.098392158621,9732.098392158621,9922.098392158621,10287.098392158621,,,-1001.665897225558,3801.7858995878737,349.01933250486456
run_20260325_143529,Analysis_C_Data/Trajectories/traj_run_20260325_143529_L6800_H2000_Thneg15.npz,2.243676677773307,-15.0,2.2436766777733057,-15.000000000000005,1.3322676295501878e-15,5.329070518200751e-15,9215.86640405909,10357.183538443815,9642.816461556185,9606.678027305583,10747.995161690307,10033.628084802678,-240.72144288577155,0.0,8121.678027305583,9281.678027305583,9606.678027305583,10201.678027305583,,,85.97855711422844,0.0,324.8734207790038,-3052.557848812479,-2766.509719177791,9262.995161690307,10422.995161690307,10747.995161690307,11342.995161690307,,,-2725.857848812479,-2766.509719177791,324.8734207790038,-1292.5883421153376,3801.7858995878737,8548.628084802678,9708.628084802678,10033.628084802678,10628.628084802678,,,-965.8883421153375,3801.7858995878737,324.8734207790038
run_20260325_143530,Analysis_C_Data/Trajectories/traj_run_20260325_143530_L6800_H2000_Thneg15.npz,2.647120936293911,-15.0,2.6471209362939088,-15.000000000000021,2.220446049250313e-15,2.1316282072803006e-14,9326.205034421993,10306.922788714332,9693.077211285668,9627.367359071292,10608.08511336363,9994.239535934967,-312.1442885771543,0.0,7907.3673590712915,9377.367359071292,9627.367359071292,10122.367359071292,,,66.25571142284565,0.0,364.8728250604459,-3123.9806945038617,-2766.509719177791,8888.08511336363,10358.08511336363,10608.08511336363,11103.08511336363,,,-2745.5806945038617,-2766.509719177791,364.8728250604459,-1364.0111878067205,3801.7858995878737,8274.239535934967,9744.239535934967,9994.239535934967,10489.239535934967,,,-985.6111878067205,3801.7858995878737,364.8728250604459
run_20260325_143531,Analysis_C_Data/Trajectories/traj_run_20260325_143531_L6800_H2000_Thneg15.npz,2.659894288560141,-15.0,2.6598942885601384,-14.999999999999945,2.6645352591003757e-15,5.5067062021407764e-14,9329.193553995343,10305.561477323716,9694.438522676284,9628.452071029411,10604.819994357784,9993.697039710352,-301.56312625250496,0.0,7958.452071029411,9378.452071029411,9628.452071029411,10098.452071029411,,,65.83687374749502,0.0,339.1956795070138,-3113.399532179212,-2766.509719177791,8934.819994357784,10354.819994357784,10604.819994357784,11074.819994357784,,,-2745.999532179212,-2766.509719177791,339.1956795070137,-1353.430025482071,3801.7858995878737,8323.697039710352,9743.697039710352,9993.697039710352,10463.697039710352,,,-986.030025482071,3801.7858995878737,339.1956795070138
run_20260325_143533,Analysis_C_Data/Trajectories/traj_run_20260325_143533_L6800_H2000_Thneg15.npz,2.1303765145683635,-15.0,2.1303765145683644,-14.999999999999993,8.881784197001252e-16,7.105427357601002e-15,9178.067156217772,10374.401610930909,9625.598389069091,9500.311645195728,10696.646099908865,9947.842878047048,-193.10621242484967,0.0,8300.311645195728,9230.311645195728,9500.311645195728,9970.311645195728,,,70.89378757515033,0.0,276.4336245910196,-3004.942618351557,-2766.509719177791,9496.646099908865,10426.646099908865,10696.646099908865,11166.646099908865,,,-2740.942618351557,-2766.509719177791,276.43362459101957,-1244.9731116544158,3801.7858995878737,8747.842878047048,9677.842878047048,9947.842878047048,10417.842878047048,,,-980.9731116544158,3801.7858995878737,276.43362459101957
run_20260325_143534,Analysis_C_Data/Trajectories/traj_run_20260325_143534_L6800_H2000_Thneg15.npz,2.6533262870997896,-15.0,2.653326287099788,-14.999999999999961,1.7763568394002505e-15,3.907985046680551e-14,9327.660189080696,10306.259945937705,9693.740054062295,9555.606080864263,10534.205837721272,9921.685945845862,-335.9519038076152,0.0,7800.606080864263,9365.606080864263,9555.606080864263,9925.606080864263,,,50.1480961923848,0.0,360.6011300838015,-3147.7883097343224,-2766.509719177791,8779.205837721272,10344.205837721272,10534.205837721272,10904.205837721272,,,-2761.6883097343225,-2766.509719177791,360.6011300838014,-1387.8188030371814,3801.7858995878737,8166.685945845862,9731.685945845862,9921.685945845862,10291.685945845862,,,-1001.7188030371814,3801.7858995878737,360.6011300838015
