wave_id,dh,true_h0,abs_error,error_pct
20260310_145055,118.54586303901085,121.88215998123312,3.336296942222262,2.7373136008879153
20260310_145559,100.02611753125976,94.92139940227453,5.104718128985226,5.377836990531037
20260310_161429,81.73715407027164,83.23891270469514,1.5017586344234957,1.8041545541942046
20260310_163551,161.14691810100288,148.48623735879738,12.6606807422055,8.526501154186187
20260310_163554,132.73869903352244,131.23533522208217,1.5033638114402663,1.1455480407743908
20260310_163556,155.2780937573449,144.76846054501362,10.509633212331266,7.2596152316363485
20260310_163557,100.32919119208776,107.65010322480316,7.320912032715398,6.800654911985836
20260310_163559,128.1674114196711,123.92750159493805,4.239909824733061,3.42128241929009
20260310_202157,92.9326160914624,95.10388163589053,2.171265544428124,2.2830461881050357
20260310_202159,107.70477759445608,116.11609390925392,8.411316314797844,7.24388500475342
20260310_202200,94.4093840689514,94.72657464134983,0.31719057239843096,0.33484856134549984
20260310_202202,108.01776588259247,115.81604861618263,7.798282733590156,6.733335169665359
20260310_202203,101.09154805584866,98.53381757523861,2.557730480610047,2.5957894898946865
20260310_202204,95.13355671022228,99.85735806724226,4.72380135701998,4.730549103691539
20260310_202206,107.16557627896984,105.1272677406586,2.0383085383112416,1.9388961419025956
20260310_202207,109.58651914369172,112.79356058471893,3.207041441027215,2.843284159487469
20260310_202209,130.1332569423535,121.839648881974,8.293608060379512,6.8069861793622914
20260310_202210,122.3283744043294,115.80868911375433,6.519685290575069,5.629703039096694
20260316_125800,150.98452834700524,130.10689841281166,20.87762993419358,16.04652035278842
20260316_125801,131.06273903842526,125.19573596472479,5.867003073700474,4.686264295258077
20260316_125802,95.3677140369049,95.99658703498919,0.6288729980842902,0.6550993295783278
20260316_125804,101.02490793619444,107.1107850386764,6.085877102481959,5.681852766072457
20260316_125805,149.56664557926743,147.2140457420109,2.3525998372565198,1.5980810970845778
20260316_125816,93.80598530154263,98.25620949864671,4.4502241971040775,4.529204026708735
20260316_125818,89.18387139218689,97.8521913106433,8.668319918456419,8.858585385111935
20260316_125819,154.81197874114793,149.65586935684433,5.156109384303591,3.4453105023293107
20260316_125820,140.77333436922552,141.25052548133021,0.47719111210469123,0.3378331588350544
20260316_125822,151.31960533143047,139.49657235144764,11.823032979982827,8.47550070993564
20260316_125823,104.19479593731424,115.1757527906915,10.980956853377265,9.534087329416392
20260316_125825,90.24763737372717,90.23725010115137,0.010387272575798079,0.011511069501956758
20260316_125826,107.45478717456909,113.52528967109907,6.070502496529983,5.34726888970484
20260316_125828,117.2083713715101,125.94306276515962,8.734691393649527,6.935428757943353
20260316_125829,113.09475180645366,117.92237455706018,4.827622750606523,4.093898862484775
20260316_125830,118.15171391214024,108.62505682851227,9.526657083627967,8.770220575044503
20260316_125832,168.02765523829737,141.34934988069526,26.678305357602113,18.87402055978306
20260316_125833,76.87181684075648,81.27567810603207,4.403861265275594,5.41842451259567
20260316_125835,82.1427930613939,82.44781655233324,0.3050234909393339,0.3699594527718295
20260316_125836,133.49583011333212,145.01689207736692,11.5210619640348,7.9446344484394835
20260316_125838,141.86862185754384,128.22077656436431,13.647845293179529,10.644020149362127
20260316_125839,121.89087270413111,113.44813555938444,8.442737144746673,7.441935562111834
20260316_125840,91.8539904043083,93.85976516396913,2.0057747596608237,2.1369910271529213
20260316_125842,107.16509693042997,100.94145031798386,6.223646612446103,6.165600546495506
20260316_125843,81.53223653794161,81.63743180622286,0.10519526828124981,0.12885666042379254
20260316_125845,139.78879610892218,138.79982692675776,0.9889691821644249,0.712514708455859
20260316_125846,111.14577354535507,112.3137453055509,1.167971760195826,1.0399188069263872
20260316_125847,117.96734867594343,110.01055377360095,7.95679490234248,7.232755976046963
20260316_125849,80.62972695699283,83.60588043260239,2.9761534756095642,3.559741803100495
20260316_125850,99.72245432580642,105.79655601649429,6.074101690687868,5.7413037998523135
20260316_125852,85.68410083075207,85.00626499392877,0.6778358368233057,0.7973951530180952
20260316_125853,80.44025695146689,88.02148733818717,7.581230386720279,8.612931473871203
20260320_145313,130.6832671549977,129.0449974556092,1.638269699388502,1.2695336756095936
20260320_145314,162.3949457010756,148.05887310983377,14.336072591241845,9.682683847395616
20260320_145315,122.16952136595378,120.87988556691892,1.289635799034869,1.0668737755554283
20260320_145317,117.51793941020833,129.16854130308954,11.650601892881213,9.019689914701038
20260320_145318,74.97467553008902,81.78411987528256,6.8094443451935405,8.326120468836328
20260320_145320,104.83726705214356,111.51585506744772,6.6785880153041575,5.988913425149072
20260320_145321,78.17023025338604,82.0094385973236,3.839208343937557,4.681422540627964
20260320_145322,171.3601967083905,145.27081283593532,26.089383872455187,17.959136706917022
20260320_145324,140.7279159878963,134.7696962064379,5.958219781458382,4.421038222369874
20260320_145325,99.36146776158128,101.22651984039518,1.8650520788139033,1.8424540147725603
20260320_145326,128.19563117431952,127.11340545784347,1.0822257164760458,0.8513859829166174
20260320_145328,116.66796865838066,126.64310929757036,9.975140639189704,7.876575910459802
20260320_145329,71.46247198821582,80.53219996471972,9.069727976503899,11.262237937715904
20260320_145331,103.12462164037876,111.79522360685087,8.670601966472105,7.7557892785866445
20260320_145332,110.10279772954449,112.63873026237204,2.5359325328275446,2.251385937075584
20260320_145334,105.97500612321952,107.94595996853724,1.970953845317723,1.825870876401667
20260320_145335,177.60973900866526,143.22480546447161,34.38493354419364,24.00766643228095
20260320_145336,94.0549573583646,99.238389961253,5.183432602888402,5.223213118342851
20260320_145337,118.70261041335685,108.32353821406831,10.379072199288544,9.581548360041088
20260320_145339,114.36645814673965,120.65397271927148,6.287514572531833,5.211195645551718
20260320_145340,134.62093240689316,140.2225193228394,5.601586915946228,3.9947841067164767
20260320_145341,113.3424479983222,111.02163917561265,2.3208088227095516,2.09041123869422
20260320_145343,122.33024934150082,133.82591013778824,11.495660796287424,8.59001129486166
20260320_145344,157.22433804506795,144.3733932389045,12.850944806163454,8.901186373654125
20260320_145346,104.07959702009066,105.63711378623711,1.557516766146449,1.4744029918293446
20260320_145347,128.38089774714877,137.10105820966047,8.7201604625117,6.3603888812998655
20260320_145348,142.42610413733064,138.57812508681684,3.8479790505138,2.776757910458888
20260320_145350,125.52907396989414,114.26574807264805,11.26332589724609,9.85713224411315
20260320_145351,113.65684113777388,116.84967081056944,3.192829672795554,2.7324250471972675
20260320_145352,139.40696845530297,146.0566322922507,6.649663836947724,4.5527982759743075
20260320_145354,91.06995287168147,97.15087465153036,6.080921779848893,6.259255824160616
20260320_145355,129.87096537526577,136.21004684190444,6.3390814666386746,4.653901539286808
20260320_145357,93.47732428270336,93.80450907401388,0.3271847913105148,0.3487943112120107
20260320_145358,91.59731445243476,96.63681326916166,5.039498816726905,5.214885141845927
20260320_145359,88.02060301540001,93.46837048994263,5.447767474542616,5.8284609499304425
20260320_145401,116.4278306876456,127.52449998071378,11.096669293068189,8.701597963329712
20260320_145402,131.82311716945634,137.68588290593942,5.862765736483084,4.258073240877027
20260320_145404,170.53777997690293,141.4513963797082,29.086383597194725,20.562811214048423
20260320_145405,79.79398947959989,87.61786121469738,7.823871735097498,8.929539738394219
20260320_145407,161.32594118047064,149.55948695565723,11.766454224813401,7.867407453933048
20260320_145408,110.86153375267332,108.84818127514491,2.0133524775284144,1.849688670901253
20260320_145409,103.76596127246003,95.95177048020682,7.814190792253214,8.14387348263172
20260320_145410,89.94164709466389,92.51491747788985,2.5732703832259602,2.781465360806214
20260320_145412,121.27966600793009,120.91980219294024,0.35986381498985054,0.2976053619535781
20260320_145413,86.00772141768235,92.04582086338355,6.0380994457012065,6.559884402207773
20260320_145414,158.0525983646587,142.90416315342026,15.14843521123845,10.60041560509001
20260320_145416,81.20060790631135,82.1668467699177,0.9662388636063497,1.1759473578339892
20260320_145417,79.92027264615909,84.58293658438416,4.662663938225066,5.512534946777781
20260320_145419,132.38521036037585,141.18956372739484,8.80435336701899,6.2358386374917965
20260320_145420,84.93609578535052,87.56410672570252,2.6280109403519987,3.001242219696628
20260413_183151,138.92488540066805,145.33428087259307,6.4093954719250235,4.41010574617547
20260413_183152,121.43622805193083,117.59124057154519,3.8449874803856403,3.2697907273512112
20260413_183154,172.46533972315217,148.1920088539264,24.27333086922576,16.379648981715405
20260413_183155,102.88630384162158,109.32893193603098,6.4426280944094,5.892884875321951
20260413_183157,139.01071141848084,143.77090120787585,4.760189789395014,3.310954963349877
20260413_183158,107.32721437684067,109.60828978062312,2.2810754037824523,2.081115769936689
